model,policy,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit,point,macro_auprc_ap
densenet121-res224-all,ignore_uncertain,macro_auroc,0.6787542482308422,0.6529796871903941,0.6971593405585521,200,200,patient,0.6785685504044081,0.076652723919233
densenet121-res224-chex,ignore_uncertain,macro_auroc,0.6472876778000619,0.6216298520379,0.6685026777931894,200,200,patient,0.6487315774203779,0.0494112130040411
densenet121-res224-mimic_nb,ignore_uncertain,macro_auroc,0.6333897615973153,0.6110437493159387,0.6558018667103203,200,200,patient,0.6348723774981099,0.0513055344312726
densenet121-res224-mimic_ch,ignore_uncertain,macro_auroc,0.6358343138634949,0.6134331051671795,0.6605837608764624,200,200,patient,0.6369660948698217,0.0549545944644584
densenet121-res224-nih,ignore_uncertain,macro_auroc,0.6526678955117862,0.6226829129328245,0.6802462966378611,200,200,patient,0.6524148900694248,0.0646636921432817
densenet121-res224-pc,ignore_uncertain,macro_auroc,0.7171153524162643,0.6929292309318354,0.7407307802973647,200,200,patient,0.7183926644323156,0.0896729135359877
resnet50-res512-all,ignore_uncertain,macro_auroc,0.6759544192385176,0.6557215340451505,0.6958482593390153,200,200,patient,0.6765745346274675,0.0894137532647155
