policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
ignore_uncertain,densenet121-res224-all,AP,0.5773429182803015,10,0.045191113499193206,11,0.1753487982679733,0.3129310001022594,4818
ignore_uncertain,densenet121-res224-all,PA,0.7515842879696596,11,0.13209465531124706,11,0.046581847001229165,0.07622937951175492,13606
ignore_uncertain,densenet121-res224-chex,AP,0.5311015589170177,10,0.028837345559828545,11,0.3092265609246358,0.4623743448522303,4818
ignore_uncertain,densenet121-res224-chex,PA,0.6977036596222547,11,0.0766503979780513,11,0.1407917858095983,0.23933372423161148,13606
ignore_uncertain,densenet121-res224-mimic_ch,AP,0.6075575872394775,10,0.04725076633988368,11,0.2852925705368268,0.4639737640898613,4818
ignore_uncertain,densenet121-res224-mimic_ch,PA,0.6639357695849033,11,0.07156726846931115,11,0.18882215691462328,0.3386991707877249,13606
ignore_uncertain,densenet121-res224-mimic_nb,AP,0.61484949736168,10,0.040733402122951574,11,0.3191321309839256,0.48321913602790667,4818
ignore_uncertain,densenet121-res224-mimic_nb,PA,0.6769922914129853,11,0.07355342488553043,11,0.18278184575313466,0.32096222507619654,13606
ignore_uncertain,densenet121-res224-nih,AP,0.49883799989519256,6,0.030211867642212446,7,0.17853927391777483,0.31373492668148767,4818
ignore_uncertain,densenet121-res224-nih,PA,0.7089803235643413,7,0.12021837672262202,7,0.08764215071153744,0.15686769989362803,13606
ignore_uncertain,densenet121-res224-pc,AP,0.6073648123829324,7,0.06095901010423504,8,0.21852328701640222,0.38859983976448187,4818
ignore_uncertain,densenet121-res224-pc,PA,0.754816941967331,8,0.12623198279440156,8,0.10148202224820191,0.1975101426222716,13606
ignore_uncertain,resnet50-res512-all,AP,0.5652746270031589,10,0.03863291618796489,11,0.08789769245929847,0.1472713866190521,4818
ignore_uncertain,resnet50-res512-all,PA,0.7101269816102627,11,0.14398226543667425,11,0.07322658902854574,0.10921097550867676,13606
