policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
ignore_uncertain,densenet121-res224-all,Adults: 25–64 years,0.6950408831961205,11,0.06607323012423179,11,0.0471345311902283,0.0904160003494106,9979
ignore_uncertain,densenet121-res224-all,Children: 5–14 years,0.6444067167222904,9,0.11637644892077313,11,0.10805557138652881,0.17256494460423974,849
ignore_uncertain,densenet121-res224-all,Infants and Toddlers: 0–4 years,0.5627428726897139,8,0.06920074851515648,11,0.14974644353592273,0.24268261924509185,1388
ignore_uncertain,densenet121-res224-all,Open-ended: 85+,0.4202233636368787,11,0.06969225242998571,11,0.20569809577617432,0.35038325584484215,1174
ignore_uncertain,densenet121-res224-all,Seniors: 65–84 years,0.6322531067899083,11,0.09980719215089523,11,0.10526966961944254,0.16791490033024445,4030
ignore_uncertain,densenet121-res224-all,Young Adults: 15–24 years,0.6966995704616464,9,0.06525692521099641,11,0.04280907087845179,0.08618155888763844,1004
ignore_uncertain,densenet121-res224-chex,Adults: 25–64 years,0.6380382907397165,11,0.04031098543559041,11,0.13655519317406198,0.24240464154382593,9979
ignore_uncertain,densenet121-res224-chex,Children: 5–14 years,0.6982530201983654,9,0.11389347978477872,11,0.1732619440625168,0.28525558993152367,849
ignore_uncertain,densenet121-res224-chex,Infants and Toddlers: 0–4 years,0.4718274824511994,8,0.0561296400867348,11,0.2597814055276339,0.3769888306024876,1388
ignore_uncertain,densenet121-res224-chex,Open-ended: 85+,0.5281809558675484,11,0.05787541465065251,11,0.38525712062011014,0.5495576692296756,1174
ignore_uncertain,densenet121-res224-chex,Seniors: 65–84 years,0.6158734909039844,11,0.05944518892397041,11,0.24819071723385247,0.37435208202327835,4030
ignore_uncertain,densenet121-res224-chex,Young Adults: 15–24 years,0.6808728165325717,9,0.09803667743614945,11,0.08231807578122556,0.16383449957872143,1004
ignore_uncertain,densenet121-res224-mimic_ch,Adults: 25–64 years,0.6340973603262986,11,0.04499698031388406,11,0.18317353661033497,0.34046874314226244,9979
ignore_uncertain,densenet121-res224-mimic_ch,Children: 5–14 years,0.6576656160927226,9,0.11177142415938417,11,0.2204295373224421,0.36434927319260385,849
ignore_uncertain,densenet121-res224-mimic_ch,Infants and Toddlers: 0–4 years,0.5320483438623305,8,0.06824719509328625,11,0.32791007228935837,0.48197149170308895,1388
ignore_uncertain,densenet121-res224-mimic_ch,Open-ended: 85+,0.5392297632139231,11,0.06173729949831817,11,0.29057157022258995,0.47405993278608194,1174
ignore_uncertain,densenet121-res224-mimic_ch,Seniors: 65–84 years,0.6388392641172347,11,0.07667793147876281,11,0.24627739607019183,0.4078698174678323,4030
ignore_uncertain,densenet121-res224-mimic_ch,Young Adults: 15–24 years,0.5897618631587159,9,0.050278856554817654,11,0.1393105068775825,0.2780356212678186,1004
ignore_uncertain,densenet121-res224-mimic_nb,Adults: 25–64 years,0.6312547795285217,11,0.04253989297529202,11,0.17518407202970712,0.31834369142479296,9979
ignore_uncertain,densenet121-res224-mimic_nb,Children: 5–14 years,0.7105516040008628,9,0.1103184831505473,11,0.2499461718434323,0.3943188349660881,849
ignore_uncertain,densenet121-res224-mimic_nb,Infants and Toddlers: 0–4 years,0.5544873939957822,8,0.06399285078141081,11,0.3766798236938508,0.5092324757019486,1388
ignore_uncertain,densenet121-res224-mimic_nb,Open-ended: 85+,0.5560335292933325,11,0.046522337969750034,11,0.32543280541493763,0.49921782565683714,1174
ignore_uncertain,densenet121-res224-mimic_nb,Seniors: 65–84 years,0.6391802424856852,11,0.07411254028156612,11,0.25523589119097917,0.41084161405711245,4030
ignore_uncertain,densenet121-res224-mimic_nb,Young Adults: 15–24 years,0.6323736832106511,9,0.0675984821526232,11,0.1301467548657188,0.24992142589852442,1004
ignore_uncertain,densenet121-res224-nih,Adults: 25–64 years,0.6526744719237102,7,0.052187328456829586,7,0.07993226364298743,0.15642809657196446,9979
