model,policy,label,model_pathology,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin
densenet121-res224-all,u0,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18424,24,18400,0.001302648719062,0.6543432971014493,0.0183270721067118,0.0735379656449358,0.1717254208587929
densenet121-res224-all,u0,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.8437198014495427,0.2821284784853132,0.0884135865706307,0.0901772108884253
densenet121-res224-all,u0,Lung Lesion,Lung Lesion,18424,543,17881,0.0294724272687798,0.4346669093185427,0.024045341598023,0.0371753644657571,0.037657349882972
densenet121-res224-all,u0,Lung Opacity,Lung Opacity,18424,1407,17017,0.0763677811550151,0.6602418025972523,0.1114935672096457,0.1519883019167558,0.1750640436722218
densenet121-res224-all,u0,Edema,Edema,18424,9,18415,0.0004884932696482,0.7140374694542493,0.0011756826471431,0.0301489068689561,0.0743906368227506
densenet121-res224-all,u0,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.6289778742473588,0.0757809360507743,0.1049608645416148,0.1654798205785414
densenet121-res224-all,u0,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.6949674164100308,0.0222416127445901,0.0601710573078772,0.1016985978660997
densenet121-res224-all,u0,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.7116230190279614,0.1214350855890085,0.1064835803016433,0.1468822949980698
densenet121-res224-all,u0,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.7648187731078729,0.0095364936988732,0.0923923513759695,0.238362704414154
densenet121-res224-all,u0,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.8083179732149827,0.1630357817264675,0.0644223102369384,0.1143052441323483
densenet121-res224-all,u0,Fracture,Fracture,18424,239,18185,0.01297221016066,0.5486747664347024,0.0139630931145098,0.0730709105715278,0.1846209878893144
densenet121-res224-chex,u0,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18424,24,18400,0.001302648719062,0.6845561594202898,0.0023896142774013,0.2016926389805404,0.3829310592157277
densenet121-res224-chex,u0,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.7326322527780157,0.1394791222973698,0.2089920768600902,0.287679749412728
densenet121-res224-chex,u0,Lung Lesion,Lung Lesion,18424,543,17881,0.0294724272687798,0.5039864531041777,0.0280573990630229,0.1170987952259096,0.2026861623172671
densenet121-res224-chex,u0,Lung Opacity,Lung Opacity,18424,1407,17017,0.0763677811550151,0.6250485581979373,0.1050140764028709,0.2638910308716525,0.3485422828212238
densenet121-res224-chex,u0,Edema,Edema,18424,9,18415,0.0004884932696482,0.7270160195492805,0.0027698250195269,0.2386910593128443,0.3938776840155453
densenet121-res224-chex,u0,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.5286032437803867,0.0553962023081499,0.2031274272350037,0.2671624453413375
densenet121-res224-chex,u0,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.682485518404458,0.0236381466149232,0.1052836143246498,0.2178104684410861
densenet121-res224-chex,u0,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.6383258299217909,0.0934911926338729,0.2525269214296912,0.3455122016802671
densenet121-res224-chex,u0,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.666188084493258,0.0031068195620681,0.0570262934081049,0.1631082376152035
densenet121-res224-chex,u0,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.7616537833221578,0.0726745026968452,0.2112762755124914,0.3178819148146071
densenet121-res224-chex,u0,Fracture,Fracture,18424,239,18185,0.01297221016066,0.5856859359235564,0.0174912183954814,0.1735421210027904,0.3333810037812543
densenet121-res224-mimic_nb,u0,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18424,24,18400,0.001302648719062,0.6281951992753624,0.003482252210013,0.1722998964410642,0.3325565408052175
densenet121-res224-mimic_nb,u0,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.7202445203604264,0.1340708017092157,0.2259443753444584,0.3205956175772089
densenet121-res224-mimic_nb,u0,Lung Lesion,Lung Lesion,18424,543,17881,0.0294724272687798,0.5511466073590876,0.0327757690844229,0.2098934481919238,0.3747618985022564
densenet121-res224-mimic_nb,u0,Lung Opacity,Lung Opacity,18424,1407,17017,0.0763677811550151,0.6522292874983204,0.1235894946643255,0.2653782189224274,0.4057506041962627
densenet121-res224-mimic_nb,u0,Edema,Edema,18424,9,18415,0.0004884932696482,0.6481310525839442,0.0015299811226878,0.2528691562708985,0.430744551411417
densenet121-res224-mimic_nb,u0,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.5868491747492319,0.0674834083122112,0.1817494966498285,0.2846425252594649
densenet121-res224-mimic_nb,u0,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.6747269806789853,0.0234205601903628,0.2272990422067822,0.445137569017096
densenet121-res224-mimic_nb,u0,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.6057966940228363,0.0850603190319551,0.29574030566878,0.3991303141059782
densenet121-res224-mimic_nb,u0,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.5775693915832971,0.0064713049217101,0.1803824285997556,0.3621431725929612
densenet121-res224-mimic_nb,u0,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.7484708649987868,0.068946267493017,0.2605648248174738,0.3680874932867569
densenet121-res224-mimic_nb,u0,Fracture,Fracture,18424,239,18185,0.01297221016066,0.5903224990020052,0.0175113670026043,0.1306709732400479,0.2696675612470342
densenet121-res224-mimic_ch,u0,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18424,24,18400,0.001302648719062,0.6536322463768116,0.0061401777697032,0.1895004399864444,0.3697437225711226
densenet121-res224-mimic_ch,u0,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.7326604580628382,0.1494155463088129,0.2645127401245981,0.3922008199858539
densenet121-res224-mimic_ch,u0,Lung Lesion,Lung Lesion,18424,543,17881,0.0294724272687798,0.521823271365441,0.0339721492931599,0.1557783784652145,0.2867111883066341
densenet121-res224-mimic_ch,u0,Lung Opacity,Lung Opacity,18424,1407,17017,0.0763677811550151,0.6270004505298623,0.117358241280782,0.2545564560469306,0.380924537870722
densenet121-res224-mimic_ch,u0,Edema,Edema,18424,9,18415,0.0004884932696482,0.6333061815548919,0.0010840553202336,0.2093618320939862,0.3823408433208766
densenet121-res224-mimic_ch,u0,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.5692809752437851,0.0634996572308549,0.2072369153569642,0.3473363000799986
densenet121-res224-mimic_ch,u0,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.6940489120472211,0.0304657238656573,0.1837643226317576,0.3826949398344048
densenet121-res224-mimic_ch,u0,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.6227358980759155,0.090088423794045,0.2687534039336344,0.3908907315662821
densenet121-res224-mimic_ch,u0,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.5778293551544149,0.0028964892304132,0.2561962338543352,0.4924401543424589
densenet121-res224-mimic_ch,u0,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.7729307885373036,0.0910954785482594,0.221914346561764,0.3535904637918226
densenet121-res224-mimic_ch,u0,Fracture,Fracture,18424,239,18185,0.01297221016066,0.6015107398046347,0.018471658322875,0.1428900638599433,0.3067855324062719
densenet121-res224-nih,u0,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.7761887913058407,0.1705281740791812,0.0868651872634138,0.0810081328981646
densenet121-res224-nih,u0,Edema,Edema,18424,9,18415,0.0004884932696482,0.490656771351857,0.0005311294901161,0.0637987939410437,0.144658554960024
