model,policy,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit,macro_auroc,point
densenet121-res224-all,ignore_uncertain,macro_auprc_ap,0.0780879346758898,0.07196424801829175,0.0863375960589158,200,200,patient,0.6785685504044081,0.076652723919233
densenet121-res224-chex,ignore_uncertain,macro_auprc_ap,0.04989191864227452,0.04668618431909526,0.05283744478178067,200,200,patient,0.6487315774203779,0.0494112130040411
densenet121-res224-mimic_nb,ignore_uncertain,macro_auprc_ap,0.05191160910416143,0.049135322563512614,0.05505318646814344,200,200,patient,0.6348723774981099,0.0513055344312726
densenet121-res224-mimic_ch,ignore_uncertain,macro_auprc_ap,0.055918163467130695,0.05225732749981418,0.060162486602121514,200,200,patient,0.6369660948698217,0.0549545944644584
densenet121-res224-nih,ignore_uncertain,macro_auprc_ap,0.0656972763567605,0.06117896279416667,0.07030610935007042,200,200,patient,0.6524148900694248,0.0646636921432817
densenet121-res224-pc,ignore_uncertain,macro_auprc_ap,0.09134016410753677,0.08462179681074217,0.09848122970424944,200,200,patient,0.7183926644323156,0.0896729135359877
resnet50-res512-all,ignore_uncertain,macro_auprc_ap,0.08998854176937522,0.08352844059571558,0.09760820412984857,200,200,patient,0.6765745346274675,0.0894137532647155
