model,policy,label,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin,degenerate,in_common_set
densenet121-res224-mimic_ch,u0,Pneumonia,18424,240,18184,0.013026487190620929,0.6940489120472211,0.03046572386565738,0.1837643226460687,0.38269493984617886,False,True
densenet121-res224-mimic_ch,u0,Atelectasis,18424,1217,17207,0.06605514546244029,0.6227358980759155,0.090088423794045,0.2687534039055687,0.39089073150650244,False,True
densenet121-res224-mimic_ch,u0,Pneumothorax,18424,32,18392,0.0017368649587494573,0.5778293551544149,0.0028964892304132817,0.25619623371533456,0.4924401542045213,False,True
densenet121-res224-mimic_ch,u0,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7729307885373036,0.09109547854825943,0.22191434652346362,0.35359046374304487,False,True
densenet121-res224-mimic_ch,u0,Fracture,18424,239,18185,0.01297221016066001,0.6015107398046347,0.018471658322875045,0.14289006389484626,0.3067855324519214,False,False
densenet121-res224-nih,u0,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.7761887913058407,0.17052817407918128,0.08686518727638928,0.08100813293813137,False,True
densenet121-res224-nih,u0,Edema,18424,9,18415,0.0004884932696482848,0.490656771351857,0.0005311294901161534,0.06379879395099154,0.144658554984601,False,True
densenet121-res224-nih,u0,Consolidation,18424,1033,17391,0.056068171949630916,0.5357888934885984,0.063284822270426,0.18100955180735467,0.3095263245933147,False,True
densenet121-res224-nih,u0,Pneumonia,18424,240,18184,0.013026487190620929,0.6404578429755097,0.02130735561289533,0.1010664035196581,0.21897089646739545,False,True
densenet121-res224-nih,u0,Atelectasis,18424,1217,17207,0.06605514546244029,0.6869834127145995,0.11178499234547551,0.12424901187194991,0.167440714182257,False,True
densenet121-res224-nih,u0,Pneumothorax,18424,32,18392,0.0017368649587494573,0.7089707821335363,0.004426605735542472,0.13906237174007494,0.305418742482833,False,True
densenet121-res224-nih,u0,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7278577365160324,0.08078276546933538,0.0838352014318428,0.1424099604901189,False,True
densenet121-res224-pc,u0,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.8240391491811311,0.23794077062682714,0.11475469230390445,0.15088559540615232,False,True
densenet121-res224-pc,u0,Edema,18424,9,18415,0.0004884932696482848,0.7328989048782696,0.0016163356492964204,0.04603348260944559,0.10421482467344755,False,True
densenet121-res224-pc,u0,Consolidation,18424,1033,17391,0.056068171949630916,0.6668808064257291,0.1150778562004988,0.131247914473489,0.2138708546546597,False,True
densenet121-res224-pc,u0,Pneumonia,18424,240,18184,0.013026487190620929,0.7972292491567678,0.0949995870767517,0.1806521159298493,0.3576627659466458,False,True
