model,policy,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit,macro_auroc,point
densenet121-res224-all,u0,macro_auprc_ap,0.07773890616074594,0.07092764034671613,0.08646224104784385,200,200,patient,0.6785808274876314,0.0766511949973691
densenet121-res224-chex,u0,macro_auprc_ap,0.0501393825823509,0.047238140885913465,0.05290403433355496,200,200,patient,0.6487438035359372,0.0494098290246848
densenet121-res224-mimic_nb,u0,macro_auprc_ap,0.052104409169198174,0.04893067389362241,0.05603572105006144,200,200,patient,0.6348802065556621,0.0513037750675023
densenet121-res224-mimic_ch,u0,macro_auprc_ap,0.055904067893297105,0.051958778799648137,0.06131069765368764,200,200,patient,0.6369781160684654,0.054953418269527
densenet121-res224-nih,u0,macro_auprc_ap,0.06537420963827513,0.06054654606320754,0.07035518366975657,200,200,patient,0.6524148900694248,0.0646636921432817
densenet121-res224-pc,u0,macro_auprc_ap,0.0910538963163424,0.08386442768511111,0.09886405477730408,200,200,patient,0.7183926644323156,0.0896729135359877
resnet50-res512-all,u0,macro_auprc_ap,0.08986169763920597,0.08244046363188909,0.09633914756735024,200,200,patient,0.6765808066879706,0.0894113260237437
