model,policy,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit,point,macro_auprc_ap
densenet121-res224-all,u0,macro_auroc,0.6776292582130512,0.652872617179408,0.7004015416949071,200,200,patient,0.6785808274876314,0.0766511949973691
densenet121-res224-chex,u0,macro_auroc,0.6493862992900854,0.6259044861983778,0.6728429619866652,200,200,patient,0.6487438035359372,0.0494098290246848
densenet121-res224-mimic_nb,u0,macro_auroc,0.6334528218211064,0.6110828169183409,0.6547397257498156,200,200,patient,0.6348802065556621,0.0513037750675023
densenet121-res224-mimic_ch,u0,macro_auroc,0.6371555251769965,0.6143823453313679,0.6574627409021427,200,200,patient,0.6369781160684654,0.054953418269527
densenet121-res224-nih,u0,macro_auroc,0.6496412135338869,0.6196902756512123,0.6808675731478584,200,200,patient,0.6524148900694248,0.0646636921432817
densenet121-res224-pc,u0,macro_auroc,0.7191035565961663,0.6937792495342306,0.7412595277799938,200,200,patient,0.7183926644323156,0.0896729135359877
resnet50-res512-all,u0,macro_auroc,0.6762922951729564,0.6541811332716461,0.6962695377261205,200,200,patient,0.6765808066879706,0.0894113260237437
