policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
ignore_uncertain,densenet121-res224-all,1,0.7056948348849568,10,0.13121584816867882,11,0.0851311923728345,0.13449415727056932,1174
ignore_uncertain,densenet121-res224-all,2,0.5071336957313561,10,0.031078213772971385,11,0.17924922685978653,0.3319367855210085,3101
ignore_uncertain,densenet121-res224-all,3,0.646004673804621,11,0.10286825463227306,11,0.09957339603334601,0.15568031001220858,3423
ignore_uncertain,densenet121-res224-all,5,0.7531420782551042,11,0.12757132093523318,11,0.045664939866474026,0.08002197037430327,7358
ignore_uncertain,densenet121-res224-all,6,0.7945485656182293,11,0.12567772783774117,11,0.043345314554923894,0.07012350899452788,3368
ignore_uncertain,densenet121-res224-chex,1,0.7168121637256766,10,0.11663526444929903,11,0.13595672094661107,0.2267242067376028,1174
ignore_uncertain,densenet121-res224-chex,2,0.4665792846410997,10,0.01720921391705185,11,0.3100816410465529,0.47038951494441084,3101
ignore_uncertain,densenet121-res224-chex,3,0.5959062035731114,11,0.05775091252410804,11,0.34024205419143433,0.4747252909579352,3423
ignore_uncertain,densenet121-res224-chex,5,0.7394879895975095,11,0.09385517609863131,11,0.07764892774906204,0.14553944015883483,7358
ignore_uncertain,densenet121-res224-chex,6,0.7000548349744844,11,0.08090301937559331,11,0.16278798201616415,0.31493830146371954,3368
ignore_uncertain,densenet121-res224-mimic_ch,1,0.6707092321941781,10,0.11795724966235524,11,0.18828919441772765,0.32286705472481614,1174
ignore_uncertain,densenet121-res224-mimic_ch,2,0.5774811779100724,10,0.027375367717513956,11,0.26963894151042467,0.4510735142503938,3101
ignore_uncertain,densenet121-res224-mimic_ch,3,0.5897650169372569,11,0.07057175636727778,11,0.3750305771218914,0.5660036644251071,3423
ignore_uncertain,densenet121-res224-mimic_ch,5,0.7005195896792529,11,0.08184850621446917,11,0.1422244245217129,0.28002622583686143,7358
ignore_uncertain,densenet121-res224-mimic_ch,6,0.6352936945594853,11,0.055310644798904345,11,0.16513912150806623,0.3172203894032062,3368
ignore_uncertain,densenet121-res224-mimic_nb,1,0.6560496221934278,10,0.08981868403303016,11,0.18680915892008298,0.311585149441153,1174
ignore_uncertain,densenet121-res224-mimic_nb,2,0.5668288088132083,10,0.026738757430123463,11,0.30272600615595063,0.4629814601825306,3101
ignore_uncertain,densenet121-res224-mimic_nb,3,0.5707858253843052,11,0.06568794010821291,11,0.362909276144451,0.5344851052261798,3423
ignore_uncertain,densenet121-res224-mimic_nb,5,0.7170047240771142,11,0.08941466654080193,11,0.1260882583414485,0.23697341216958,7358
ignore_uncertain,densenet121-res224-mimic_nb,6,0.6466456072684157,11,0.06667768617675658,11,0.20677376145615056,0.39251021448226564,3368
ignore_uncertain,densenet121-res224-nih,1,0.7536118382458755,6,0.1585916766537095,7,0.09837220574341698,0.15110896792615364,1174
ignore_uncertain,densenet121-res224-nih,2,0.430473776463218,6,0.01750575363448797,7,0.185374235600231,0.339098236089231,3101
ignore_uncertain,densenet121-res224-nih,3,0.6168946071661358,7,0.08128378267812655,7,0.15352049576275578,0.25039977377498884,3423
ignore_uncertain,densenet121-res224-nih,5,0.7531984755414852,7,0.13645021218927708,7,0.07657029904835415,0.14432920419955395,7358
ignore_uncertain,densenet121-res224-nih,6,0.7539098321066238,7,0.12750431755014413,7,0.08118228408082746,0.1489955564188761,3368
ignore_uncertain,densenet121-res224-pc,1,0.7655039684317523,7,0.15992992823465257,8,0.13632706608078535,0.23555793965939997,1174
ignore_uncertain,densenet121-res224-pc,2,0.5768205527812069,7,0.03828030669885276,8,0.22535739268227029,0.41062482373861514,3101
ignore_uncertain,densenet121-res224-pc,3,0.6294615906945319,8,0.07866122707266825,8,0.13434040378872236,0.2347725874052192,3423
ignore_uncertain,densenet121-res224-pc,5,0.8029536181145417,8,0.15810223197043619,8,0.09682347810221772,0.19052331361515706,7358
ignore_uncertain,densenet121-res224-pc,6,0.7959491943427968,8,0.13770071788416194,8,0.11949346413972195,0.2400347118214834,3368
ignore_uncertain,resnet50-res512-all,1,0.626263808195141,10,0.10760624010267023,11,0.09033449005526814,0.12786761570384125,1174
ignore_uncertain,resnet50-res512-all,2,0.5416129892043774,10,0.0277138442302582,11,0.07768929101852869,0.145203601264187,3101
ignore_uncertain,resnet50-res512-all,3,0.6520933789503459,11,0.1118414362209748,11,0.09266018271875308,0.12561363422444166,3423
ignore_uncertain,resnet50-res512-all,5,0.7289026082631299,11,0.15019923106269026,11,0.07090539206441988,0.1085189740829729,7358
ignore_uncertain,resnet50-res512-all,6,0.7441212123068014,11,0.156505008105271,11,0.06946128794340467,0.10629229598035668,3368
