policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
ignore_uncertain,densenet121-res224-all,F,0.6739559967772792,11,0.07288752025867029,11,0.07359182494380011,0.12498656068482492,9446
ignore_uncertain,densenet121-res224-all,M,0.6772855623345477,11,0.08109685956455771,11,0.08727137496292534,0.14865363513128102,8978
ignore_uncertain,densenet121-res224-chex,F,0.6467429713532389,11,0.047889261573066985,11,0.17513025220885528,0.2839802825623722,9446
ignore_uncertain,densenet121-res224-chex,M,0.6527692677889966,11,0.05200044491810834,11,0.19505806689656452,0.30951279646594626,8978
ignore_uncertain,densenet121-res224-mimic_ch,F,0.6221432314599371,11,0.04995460181086619,11,0.21262990289941264,0.3717174238666768,9446
ignore_uncertain,densenet121-res224-mimic_ch,M,0.654342712893047,11,0.061087362161496885,11,0.21554667338589326,0.3711283234829014,8978
ignore_uncertain,densenet121-res224-mimic_nb,F,0.6251206969721338,11,0.04767216016157619,11,0.21545764016729246,0.359870928509475,9446
ignore_uncertain,densenet121-res224-mimic_nb,M,0.6422478454351178,11,0.05666413064777797,11,0.22157746550773713,0.36633165230862785,8978
ignore_uncertain,densenet121-res224-nih,F,0.6474066251540538,7,0.058746862744997096,7,0.10586652435632896,0.1864998886038038,9446
ignore_uncertain,densenet121-res224-nih,M,0.6506913471181013,7,0.07191876242909935,7,0.11724728617143396,0.206076231835433,8978
ignore_uncertain,densenet121-res224-pc,F,0.7177799935760285,8,0.08169134819750865,8,0.12578516043878793,0.23883157578807054,9446
ignore_uncertain,densenet121-res224-pc,M,0.7232650946597008,8,0.09989238660686146,8,0.1387216491478358,0.25620158360499234,8978
ignore_uncertain,resnet50-res512-all,F,0.6654377122415492,11,0.0793387483049049,11,0.07485316750493434,0.11472657628531958,9446
ignore_uncertain,resnet50-res512-all,M,0.686278175285779,11,0.10031679249101727,11,0.0793896533978333,0.11689933911570462,8978
