model,policy,label,model_pathology,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin
densenet121-res224-mimic_ch,ignore_uncertain,Lung Lesion,Lung Lesion,18416,543,17873,0.0294852302345786,0.5217371099693675,0.0339769246977223,0.1558315566083868,0.2867695443380331
densenet121-res224-mimic_ch,ignore_uncertain,Lung Opacity,Lung Opacity,18417,1407,17010,0.0763968072976054,0.626921117934306,0.1173658320482294,0.2546129378056473,0.3809532346227816
densenet121-res224-mimic_ch,ignore_uncertain,Edema,Edema,18424,9,18415,0.0004884932696482,0.6333061815548919,0.0010840553202336,0.2093618320939862,0.3823408433208766
densenet121-res224-mimic_ch,ignore_uncertain,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.5692809752437851,0.0634996572308549,0.2072369153569642,0.3473363000799986
densenet121-res224-mimic_ch,ignore_uncertain,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.6940489120472211,0.0304657238656573,0.1837643226317576,0.3826949398344048
densenet121-res224-mimic_ch,ignore_uncertain,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.6227358980759155,0.090088423794045,0.2687534039336344,0.3908907315662821
densenet121-res224-mimic_ch,ignore_uncertain,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.5778293551544149,0.0028964892304132,0.2561962338543352,0.4924401543424589
densenet121-res224-mimic_ch,ignore_uncertain,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.7729307885373036,0.0910954785482594,0.221914346561764,0.3535904637918226
densenet121-res224-mimic_ch,ignore_uncertain,Fracture,Fracture,18424,239,18185,0.01297221016066,0.6015107398046347,0.018471658322875,0.1428900638599433,0.3067855324062719
densenet121-res224-nih,ignore_uncertain,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.7761887913058407,0.1705281740791812,0.0868651872634138,0.0810081328981646
densenet121-res224-nih,ignore_uncertain,Edema,Edema,18424,9,18415,0.0004884932696482,0.490656771351857,0.0005311294901161,0.0637987939410437,0.144658554960024
densenet121-res224-nih,ignore_uncertain,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.5357888934885984,0.063284822270426,0.1810095517912581,0.3095263245687197
densenet121-res224-nih,ignore_uncertain,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.6404578429755097,0.0213073556128953,0.1010664035043213,0.2189708964604934
densenet121-res224-nih,ignore_uncertain,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.6869834127145995,0.1117849923454755,0.1242490118528227,0.1674407141755121
densenet121-res224-nih,ignore_uncertain,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.7089707821335363,0.0044266057355424,0.1390623716491423,0.3054187423899888
densenet121-res224-nih,ignore_uncertain,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.7278577365160324,0.0807827654693353,0.0838352013950413,0.1424099604596988
densenet121-res224-pc,ignore_uncertain,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.8240391491811311,0.2379407706268271,0.1147546922068901,0.1508855953392381
densenet121-res224-pc,ignore_uncertain,Edema,Edema,18424,9,18415,0.0004884932696482,0.7328989048782696,0.0016163356492964,0.0460334826104596,0.1042148246739495
densenet121-res224-pc,ignore_uncertain,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.6668808064257291,0.1150778562004988,0.131247914458488,0.2138708546509392
densenet121-res224-pc,ignore_uncertain,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.7972292491567678,0.0949995870767517,0.18065211572648,0.3576627657633001
densenet121-res224-pc,ignore_uncertain,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.7072221137954834,0.137043843329287,0.1710000805753175,0.2994082733594653
densenet121-res224-pc,ignore_uncertain,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.7290669856459331,0.0053049401691765,0.1593586995504084,0.3471362639680904
densenet121-res224-pc,ignore_uncertain,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.7307376543013955,0.1093431880567906,0.1220033547355082,0.2021286124202555
densenet121-res224-pc,ignore_uncertain,Fracture,Fracture,18424,239,18185,0.01297221016066,0.5590664520738158,0.0160567871792739,0.1316624658481551,0.3030605399592542
resnet50-res512-all,ignore_uncertain,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034,0.5,0.0013027194268034,0.25,0.4986972805731965
resnet50-res512-all,ignore_uncertain,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.849599179756725,0.3064335434976733,0.0677623776055351,0.0542828372883989
resnet50-res512-all,ignore_uncertain,Lung Lesion,Lung Lesion,18416,543,17873,0.0294852302345786,0.5,0.0294852302345786,0.25,0.4705147697654214
resnet50-res512-all,ignore_uncertain,Lung Opacity,Lung Opacity,18417,1407,17010,0.0763968072976054,0.6334769212641754,0.1146087560193163,0.0936377622587534,0.0910764590165369
resnet50-res512-all,ignore_uncertain,Edema,Edema,18424,9,18415,0.0004884932696482,0.6267535523576794,0.0008111531194295,0.000861815294171,0.0048762788992503
resnet50-res512-all,ignore_uncertain,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.697288095571682,0.1042910814758668,0.053971573551306,0.0392038817719028
resnet50-res512-all,ignore_uncertain,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.7401334964804223,0.035423094076905,0.0236047749914908,0.0389370808504116
resnet50-res512-all,ignore_uncertain,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.7039613208952291,0.1200000794438108,0.0621812544584117,0.0305867182891315
resnet50-res512-all,ignore_uncertain,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.6915115947150936,0.0054219905785745,0.0027874498421265,0.0105160246523267
resnet50-res512-all,ignore_uncertain,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.8229370639962056,0.1874668145499587,0.0275346733532487,0.0199072928325273
resnet50-res512-all,ignore_uncertain,Fracture,Fracture,18424,239,18185,0.01297221016066,0.6766586558649307,0.0783068234889535,0.0153613686348895,0.0149860466447943
