policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
u0,densenet121-res224-all,1,0.7056948348849568,10,0.13121584816867882,11,0.0851311923728345,0.13449415727056932,1174
u0,densenet121-res224-all,2,0.5071336957313561,10,0.031078213772971385,11,0.17924922685978653,0.3319367855210085,3101
u0,densenet121-res224-all,3,0.6460156484253042,11,0.10286825463227306,11,0.09957148412422093,0.15567575492899588,3423
u0,densenet121-res224-all,5,0.753143341479939,11,0.12756645265850367,11,0.045659080853744934,0.08002138951033114,7358
u0,densenet121-res224-all,6,0.7945739546947311,11,0.12567553653351904,11,0.04333814693307492,0.07011613613262914,3368
u0,densenet121-res224-chex,1,0.7168121637256766,10,0.11663526444929903,11,0.13595672094661107,0.2267242067376028,1174
u0,densenet121-res224-chex,2,0.4665792846410997,10,0.01720921391705185,11,0.3100816410465529,0.47038951494441084,3101
u0,densenet121-res224-chex,3,0.5959000226952424,11,0.057750847026111995,11,0.34024314293869184,0.47472673352038136,3423
u0,densenet121-res224-chex,5,0.739498654938091,11,0.09384998010581024,11,0.07764350904196654,0.1455408966676689,7358
u0,densenet121-res224-chex,6,0.7000849412673926,11,0.0809012660700972,11,0.16276986846146946,0.3149238167948282,3368
u0,densenet121-res224-mimic_ch,1,0.6707092321941781,10,0.11795724966235524,11,0.18828919441772765,0.32286705472481614,1174
u0,densenet121-res224-mimic_ch,2,0.5774811779100724,10,0.027375367717513956,11,0.26963894151042467,0.4510735142503938,3101
u0,densenet121-res224-mimic_ch,3,0.5897533687879156,11,0.07057158288956492,11,0.37503174397768757,0.5660047672909708,3423
u0,densenet121-res224-mimic_ch,5,0.7005363044699445,11,0.08184593893692559,11,0.14221454207725123,0.2800207626807445,7358
u0,densenet121-res224-mimic_ch,6,0.635293143175905,11,0.0553045146784521,11,0.16513210309931578,0.31722461499834353,3368
u0,densenet121-res224-mimic_nb,1,0.6560496221934278,10,0.08981868403303016,11,0.18680915892008298,0.311585149441153,1174
u0,densenet121-res224-mimic_nb,2,0.5668288088132083,10,0.026738757430123463,11,0.30272600615595063,0.4629814601825306,3101
u0,densenet121-res224-mimic_nb,3,0.5707884649486833,11,0.06568791449699218,11,0.3629092592572722,0.5344859966224473,3423
u0,densenet121-res224-mimic_nb,5,0.7170072396269911,11,0.08940883223810435,11,0.1260849882743287,0.23697744321993416,7358
u0,densenet121-res224-mimic_nb,6,0.6466497016652898,11,0.06667269451206709,11,0.20677535842297862,0.3925213200354056,3368
u0,densenet121-res224-nih,1,0.7536118382458755,6,0.1585916766537095,7,0.09837220574341698,0.15110896792615364,1174
u0,densenet121-res224-nih,2,0.430473776463218,6,0.01750575363448797,7,0.185374235600231,0.339098236089231,3101
u0,densenet121-res224-nih,3,0.6168946071661358,7,0.08128378267812655,7,0.15352049576275578,0.25039977377498884,3423
u0,densenet121-res224-nih,5,0.7531984755414852,7,0.13645021218927708,7,0.07657029904835415,0.14432920419955395,7358
u0,densenet121-res224-nih,6,0.7539098321066238,7,0.12750431755014413,7,0.08118228408082746,0.1489955564188761,3368
u0,densenet121-res224-pc,1,0.7655039684317523,7,0.15992992823465257,8,0.13632706608078535,0.23555793965939997,1174
u0,densenet121-res224-pc,2,0.5768205527812069,7,0.03828030669885276,8,0.22535739268227029,0.41062482373861514,3101
u0,densenet121-res224-pc,3,0.6294615906945319,8,0.07866122707266825,8,0.13434040378872236,0.2347725874052192,3423
u0,densenet121-res224-pc,5,0.8029536181145417,8,0.15810223197043619,8,0.09682347810221772,0.19052331361515706,7358
u0,densenet121-res224-pc,6,0.7959491943427968,8,0.13770071788416194,8,0.11949346413972195,0.2400347118214834,3368
u0,resnet50-res512-all,1,0.626263808195141,10,0.10760624010267023,11,0.09033449005526814,0.12786761570384125,1174
u0,resnet50-res512-all,2,0.5416129892043774,10,0.0277138442302582,11,0.07768929101852869,0.145203601264187,3101
u0,resnet50-res512-all,3,0.6520933789503459,11,0.11184138189363367,11,0.09266018271875308,0.1256136885517828,3423
u0,resnet50-res512-all,5,0.7289040314876527,11,0.15019179919119807,11,0.07090097768660805,0.10851640426999909,7358
u0,resnet50-res512-all,6,0.7441365466406995,11,0.15650159173964448,11,0.06945775334704896,0.10629249814191709,3368
