,F1_Score
Atelectasis,0.4945054945054945
Consolidation,0.2914572864321608
Infiltration,0.49333333333333335
Pneumothorax,0.43672456575682383
Edema,0.4695121951219512
Emphysema,0.4261168384879725
Fibrosis,0.30246913580246915
Effusion,0.5801526717557252
Pneumonia,0.24146981627296588
Pleural_Thickening,0.327455919395466
Cardiomegaly,0.42402826855123676
Nodule,0.3187855787476281
Mass,0.41420118343195267
Hernia,0.4642857142857143
