,F1_Score
Atelectasis,0.30887372013651876
Consolidation,0.1656448761222475
Infiltration,0.37801735471995795
Pneumothorax,0.16377405525863534
Edema,0.11381969683538694
Emphysema,0.0666417580924561
Fibrosis,0.05084125822970007
Effusion,0.44510862843715215
Pneumonia,0.04781491002570694
Pleural_Thickening,0.11383252858322283
Cardiomegaly,0.16879471874135274
Nodule,0.18413457333605435
Mass,0.2078493703386722
Hernia,0.028934896482913443
