,F1_Score
Atelectasis,0.1507560035576638
Consolidation,0.13225190839694656
Pneumothorax,0.007274762171236709
Edema,0.0016822879115597211
Pneumonia,0.048733258028078104
Cardiomegaly,0.23459459459459459
Lung Lesion,0.06363060463151968
Fracture,0.03138222849083216
Lung Opacity,0.196440489432703
Enlarged Cardiomediastinum,0.0037146475306036302
