,F1_Score
Atelectasis,0.18222823635543528
Consolidation,0.16158264199106573
Pneumothorax,0.010343206393982134
Edema,0.0024088093599449415
Pneumonia,0.06641922250439539
Cardiomegaly,0.2861258865248227
Fracture,0.030702084430732184
