,F1_Score
Atelectasis,0.15930965814802522
Consolidation,0.11983750846310089
Pneumothorax,0.006181233774261343
Edema,0.0045351473922902496
Pneumonia,0.04107182077750934
Cardiomegaly,0.23767286599904625
Lung Lesion,0.060257032007759455
Fracture,0.03923766816143498
Lung Opacity,0.17810760667903525
Enlarged Cardiomediastinum,0.004527582509233886
