,F1_Score
Atelectasis,0.1938467725718882
Consolidation,0.14394765539803708
Pneumothorax,0.008
Edema,0.002466091245376079
Pneumonia,0.044977511244377814
Cardiomegaly,0.2966903073286052
Lung Lesion,0.006633499170812604
Fracture,0.02964201565706468
Lung Opacity,0.20454777199959212
Enlarged Cardiomediastinum,0.00419407110856925
