,F1_Score
Atelectasis,0.15287741112705244
Consolidation,0.12706867034430283
Pneumothorax,0.011637572734829594
Edema,0.0029239766081871343
Pneumonia,0.04216735853178938
Cardiomegaly,0.23054581872809213
Lung Lesion,0.07326478149100257
Fracture,0.03596908442330559
Lung Opacity,0.1832107225637408
Enlarged Cardiomediastinum,0.0038684719535783366
