model,n_images,n_labels_evaluated,macro_auroc,macro_auprc_ap,macro_brier,macro_ece_10bin
resnet50-res512-all,1000,18,0.7974996525546691,0.43962519232998426,0.0906391092026371,0.05737851706278808
densenet121-res224-all,112120,18,0.7718355752611498,0.18021348466531292,0.13492601813828842,0.23759583731780637
densenet121-res224-nih,112120,14,0.7385384593968031,0.13583077611424538,0.15775260530030158,0.2789467758760228
