,F1_Score
Atelectasis,0.1903409090909091
Consolidation,0.11417019638043897
Pneumothorax,0.006388959877331971
Edema,0.0011482704176833645
Pneumonia,0.0369256301213567
Cardiomegaly,0.27128690299783426
