,F1_Score
Atelectasis,0.2855177383955187
Consolidation,0.15062469176393228
Infiltration,0.358590082785696
Pneumothorax,0.14127550553573062
Edema,0.09579100145137881
Emphysema,0.0607812370963746
Fibrosis,0.05409481675129456
Effusion,0.4008582704318173
Pneumonia,0.046922353432960605
Pleural_Thickening,0.10765945053878265
Cardiomegaly,0.14148991205380237
Nodule,0.15206954716491503
Mass,0.19632675715222767
Hernia,0.010378337579016888
